admissions_20_29_covid_confirmed,average_admissions_20_29_covid_confirmed,percent_change_total_admissions_all_covid_confirmed_past_7days_per_100k,total_admissions_all_influenza_confirmed_past_7days,total_admissions_all_influenza_confirmed_past_7days_per_100k
18.0,14.0,32.36514523,15.0,0.469675554
1.0,2.142857143,24.70308789,298.0,6.07768216
6.0,2.428571429,21.56862745,1.0,0.047691061
7.0,10.0,-12.34866828,13.0,0.111214721
14.0,13.0,15.02069781,739.0,5.831837429
27.0,25.85714286,-6.534090909,4.0,0.01012345
3.0,2.142857143,-19.54314721,99.0,1.360129814
25.0,20.42857143,1.115093588,25.0,0.509872664
2.0,1.142857143,5.629139073,9.0,0.133685491
4.0,4.285714286,22.47191011,0.0,0.0
0.0,0.0,-85.71428571,0.0,0.0
2.0,1.857142857,-22.6744186,6.0,0.116533954
1.0,0.428571429,6.756756757,40.0,2.231959767
6.0,6.142857143,6.305309735,15.0,0.32266433
6.0,5.0,12.32622799,938.0,9.392344358
0.0,1.0,-33.8028169,14.0,0.1197697
0.0,2.142857143,-38.26185102,29.0,0.42464872
58.0,69.57142857,11.69815466,249.0,0.372152034
17.0,16.0,-5.882352941,97.0,0.245493654
1.0,2.142857143,2.528089888,22.0,0.377848852
54.0,56.71428571,7.582551977,132.0,0.197285415
0.0,1.857142857,-23.80952381,0.0,0.0
8.0,4.285714286,21.23287671,3.0,0.099410035
0.0,1.857142857,-14.07528642,65.0,0.507733603
29.0,17.14285714,-15.29209622,48.0,0.833516244
3.0,1.857142857,31.64556962,1.0,0.031191925
1.0,0.714285714,79.66101695,7.0,0.654953601
2.0,0.857142857,12.61682243,17.0,0.160114182
0.0,0.428571429,-1.290322581,254.0,14.17294452
11.0,6.142857143,8.466453674,2.0,0.029017035
1.0,0.285714286,66.66666667,1.0,0.047691061
3.0,3.428571429,14.70588235,728.0,3.389556358
14.0,10.0,4.317789292,1.0,0.006736246
2.0,2.714285714,49.05660377,14.0,0.353805979
1.0,1.0,13.58024691,5.0,0.278994971
5.0,6.428571429,-5.531914894,257.0,0.812369511
0.0,0.428571429,1.162790698,23.0,0.44671349
0.0,0.285714286,5.555555556,13.0,1.777060878
3.0,9.714285714,33.37950139,1.0,0.006736246
0.0,0.142857143,-10.12658228,40.0,2.975721092
335.0,348.0,-18.82771891,378.0,0.113852354
29.0,28.0,-6.669787035,37.0,0.07041977
340.0,423.5714286,-14.39887059,485.0,0.146080401
1.0,3.714285714,-27.86516854,24.0,0.356494642
0.0,0.0,-50.0,0.0,0.0
295.0,243.2857143,12.77833295,392.0,0.118069107
3.0,4.142857143,-7.242990654,6.0,0.194795329
2.0,1.142857143,-3.355704698,13.0,0.672040231
6.0,5.428571429,-5.34351145,0.0,0.0
0.0,0.142857143,0.0,0.0,0.0
7.0,7.857142857,15.19154557,131.0,0.609933905
1.0,0.857142857,-16.36363636,4.0,0.124767698
0.0,0.285714286,42.85714286,0.0,0.0
